Type,Name,Description
OPM,Interpersonal Skills,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences."
OPM,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results. Determines objectives, sets priorities, and delegates work. Accepts responsibility for mistakes. Complies with established control systems and rules."
OPM,Conflict Management,"Manages and resolves conflicts, grievances, confrontations, or disagreements in a constructive manner to minimize negative personal impact."
OPM,Continual Learning,Assesses and recognizes own strengths and weaknesses; pursues self-developmen
OPM,Decisiveness,"Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences; perceives the impact and implications of decisions."
OPM,Flexibility,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity."
OPM,Managing Human Resources,"Plans, distributes, coordinates, and monitors work assignments of others; evaluates work performance and provides feedback to others on their performance; ensures that staff are appropriately selected, utilized, and developed, and that they are treated in a fair and equitable manner."
OPM,Influencing,"Persuades others to accept recommendations, cooperate, or change their behavior; works with others towards an agreement; negotiates to find mutually acceptable solutions."
OPM,Integrity / Honesty,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy."
OPM,Public Service Motivation,Shows a commitment to serve the public. Ensures that actions meet public needs; aligns organizational objectives and practices with public interests.
OPM,Negotiating,Works with others towards an agreement that may involve exchanging specific resources or resolving differences.
OPM,Oral Communication,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately."
OPM,Problem Solving,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations"
OPM,Resilience,"Deals effectively with pressure; remains optimistic and persistent, even under adversity. Recovers quickly from setbacks."
OPM,Strategic Thinking,"Formulates objectives and priorities, and implements plans consistent with the long-term interests of the organization in a global environment. Capitalizes on opportunities and manages risks."
OPM,Team Building,"Inspires and fosters team commitment, spirit, pride, and trust. Facilitates cooperation and motivates team members to accomplish group goals."
OPM,Written Communication,"Writes in a clear, concise, organized, and convincing manner for the intended audience."
Technical,Administration and Management,Assimilates information; applies agency policies and procedures; delegates authority and makes decisions; assesses and uses available resources to complete agency programs.
Technical,Attention To Detail,Performs thorough and detailed work and is conscientious about attending to detail.
Technical,Information Management,Identifies a need for and knows where or how to gather information; organizes and maintains information or information management systems.
Technical,Mathematical Reasoning,"Solves practical problems by choosing appropriately from a variety of mathematical, statistical, and financial techniques."
Technical,Mathematics,"Performs computations such as addition, subtraction, multiplication, and division correctly using whole numbers, fractions, decimals, and percentages."
Technical,Memory,Retains and recalls information.
Technical,Organizational Awareness,"Understands the organization’s mission and functions; operates effectively within the social, political, and technological systems including the programs, rules, policies, procedures, and regulations of the organization."
Technical,Reasoning,"Interprets rules, principles, or relationships that explain facts, data, or other information; analyzes information and reviews alternatives in order to draw accurate conclusions."
Technical,Teaching Others,Helps others learn through formal or informal methods; identifies training needs; provides constructive feedback; coaches others on how to perform tasks; acts as a mentor.
