"ID","CriterionName","Description","State","StartDate","EndDate","_CommentFlags","_CommentCount"
"4","Inspire Others","Look for places where the applicant motivated or influenced other people toward a shared objective. Score the completeness of the evidence they give: an experience, the actions they personally took, the result of those actions, and the lessons they drew from it. General claims about being motivating are not evidence.","Published","07/25/2026 07:00:00","","",""
"5","Demonstrate Emotional Intelligence","Look for places where the applicant showed self-awareness, managed their own reaction, or accounted for how a situation looked to someone else. Score the completeness of the evidence they give: an experience, the actions they personally took, the result of those actions, and the lessons they drew from it. General claims about working well with others are not evidence.","Published","07/25/2026 07:00:00","","",""
"6","Drive Results","Look for places where the applicant delivered an outcome against a commitment. Score the completeness of the evidence they give: an experience, the actions they personally took, the result of those actions, and the lessons they drew from it. An account that describes activity but never says what came of it is not evidence of a result.","Published","07/25/2026 07:00:00","","",""
"7","Leadership and Managerial Experience","Look for the leadership roles the applicant has actually held, both formal (supervisory or managerial positions) and informal (Examiner-in-Charge, team or committee lead, mentor, award recipient). Score whether the roles are named, whether the responsibility carried in each is described, and what came of them. How large an organization the role affected is not part of this score. A fully documented team-level role earns full points here.","Published","07/28/2026 07:00:00","","",""
"8","Self-Development","Look for deliberate steps the applicant has taken to build their own capability: details to other positions, coursework, certifications, graduate study, presenting, published writing, or volunteer roles that stretched them. Score whether the activities are named specifically and whether they reached beyond the applicant's current level of responsibility or stayed within it.","Published","07/28/2026 07:00:00","","",""
"9","Career Goals and Timeline","Look for the applicant's statement of where they want their career to go. Score two things: whether the goal names a specific role, grade, or functional area rather than a general aspiration, and whether the applicant says when they expect to reach it. Both are needed for full points.","Published","07/28/2026 07:00:00","","",""
"10","Benefit to NCUA","Look for what the agency gains from the applicant's participation. Score whether the benefit is specific, whether it connects to identified agency work or a known gap, and whether it is realistic in scale. A benefit stated only as an improvement to the applicant is not a benefit to the agency.","Published","07/28/2026 07:00:00","","",""
"11","Skills Application","Look for the skills the applicant expects to gain from the program and where they would put those skills to use. Score whether both halves are present: the skills named specifically, and the work the applicant would apply them to. Naming one without the other is a partial answer.","Published","07/28/2026 07:00:00","","",""
"12","Application Quality","Score the written quality of the submission as a whole: grammar, spelling, punctuation, organization, and whether the writing moves logically from point to point. Score how the application is written, not what it claims. An applicant with thin experience who writes well earns full points here. An applicant with strong experience who writes poorly does not.","Published","07/28/2026 07:00:00","","",""
"13","Executive Core Qualification Alignment","Look for experience that aligns to OPM's five Executive Core Qualifications: Leading Change, Leading People, Results Driven, Business Acumen, and Building Coalitions. Refer to the OPM ECQ Guide for what each one covers. Count the ECQs for which the applicant gives at least one supporting experience. An assertion that experience covers an ECQ, with no experience behind it, does not count toward the total.","Published","07/28/2026 07:00:00","","",""
"14","Scope of Leadership Impact","Look for how far the applicant's leadership reached in the organization: whether what they led affected the agency broadly, a division, region, or office beyond their own team, or their immediate work unit. Score the reach only. How thoroughly the applicant documents the experience is not part of this score. A briefly described agency-wide initiative still counts as agency-wide.","Published","07/28/2026 07:00:00","","",""
"15","Quantified Accomplishments","Read the submission as a whole and score whether the applicant attaches measurements to what they accomplished: a magnitude, a before-and-after comparison, or a figure showing scale, tied to something the applicant did. Numbers that describe the applicant rather than an outcome (years of service, size of team, number of assignments) are not measured accomplishments.","Published","07/28/2026 07:00:00","","",""
"16","Program Fit","Look for the connection the applicant draws between this program and the career goal they have stated. Score whether the applicant explains why this program in particular advances that goal, rather than naming the goal and the program without connecting them.","Published","07/28/2026 07:00:00","","",""
