"ID","Score","AnchorText","ExampleText","CatalogCriterionID","_CommentFlags","_CommentCount"
"9","5","A specific example containing all four elements: the experience, the applicant's own actions, the result, and lessons learned.","""When our division absorbed two field offices, the incoming staff were skeptical of our procedures. I ran small working sessions where they walked through their own workflows first, then we mapped the differences together. Adoption was complete within a quarter and two of them later volunteered to train the next group. I had originally planned a single all-hands briefing. It would have failed.""","Inspire Others","",""
"10","3","A specific example is given, but it is incomplete. One or more of the four elements is missing or only implied.","""When our office rolled out the new report template, several examiners pushed back. I sat with each of them to hear the objections, then built a side-by-side comparison showing where the new format cut duplication. Everyone was using it within six weeks.""","Inspire Others","",""
"11","1","Addresses the criterion in general terms only. No specific example is given.","""I am a motivating leader and my colleagues look to me for encouragement. I bring a positive attitude to every team I join.""","Inspire Others","",""
"12","0","Does not address the criterion.","","Inspire Others","",""
"13","5","A specific example containing all four elements: the experience, the applicant's own actions, the result, and lessons learned.","""A colleague challenged my findings in front of management during an exit meeting. My instinct was to defend the position on the spot. Instead I acknowledged the concern, moved it to a follow-up call, and reviewed the workpapers first. The finding stood, but the objection surfaced a documentation gap I had not seen. My instinct to defend in the room costs me information.""","Demonstrate Emotional Intelligence","",""
"14","3","A specific example is given, but it is incomplete. One or more of the four elements is missing or only implied.","""During a contentious examination I recognized that my frustration with the credit union's CFO was shaping how I framed my questions. I stepped back, reset the tone at the next meeting, and made a point of restating his position before responding to it.""","Demonstrate Emotional Intelligence","",""
"15","1","Addresses the criterion in general terms only. No specific example is given.","""I work well with others and stay calm under pressure. I am aware of how my actions affect my team.""","Demonstrate Emotional Intelligence","",""
"16","0","Does not address the criterion.","","Demonstrate Emotional Intelligence","",""
"17","5","A specific example containing all four elements: the experience, the applicant's own actions, the result, and lessons learned.","""Our region's examination schedule was running 40 percent behind at midyear. I mapped where the delays concentrated, moved three examiners onto the backlog, and set weekly check-ins with field supervisors. We closed the year on schedule. I waited too long to escalate and should have flagged the slippage in month two, not month five.""","Drive Results","",""
"18","3","A specific example is given, but it is incomplete. One or more of the four elements is missing or only implied.","""Our office carried a backlog of overdue examination reports into the fourth quarter. I built a tracking sheet, reassigned two reports to examiners with capacity, and reviewed status every Monday. All reports were current by year end.""","Drive Results","",""
"19","1","Addresses the criterion in general terms only. No specific example is given.","""I consistently deliver results and meet my deadlines. My supervisors have recognized my dedication to completing assignments on time.""","Drive Results","",""
"20","0","Does not address the criterion.","","Drive Results","",""
"21","5","Names specific roles, both formal and informal, with the responsibility carried in each and what came of it.","""I served as Examiner-in-Charge on 14 examinations over three years, leading teams of up to five. I supervised two examiners during a 120-day detail as acting Supervisory Examiner, including their performance feedback. I chair the region's peer review committee and have mentored four new examiners, two of whom are now EICs.""","Leadership and Managerial Experience","",""
"22","3","Names one or more specific roles, but the description is incomplete. The responsibility carried, what came of it, or the range of roles held is thin or absent.","""I have served as Examiner-in-Charge on multiple examinations and I sit on the region's peer review committee. I have also mentored newer examiners.""","Leadership and Managerial Experience","",""
"23","1","Asserts leadership experience without naming roles, or names roles with no description of the responsibility carried.","""I have significant leadership experience throughout my career at NCUA.""","Leadership and Managerial Experience","",""
"24","0","Does not address leadership experience.","","Leadership and Managerial Experience","",""
"25","5","Names specific activities that reached beyond the applicant's current level: details to higher-graded positions, professional certification, graduate study, presenting externally, published writing.","""I completed a 120-day detail to a GS-14 policy position in Examination and Insurance in 2025, earned the CUCE certification in 2024, and presented on liquidity risk at the NASCUS regulator conference last fall.""","Self-Development","",""
"26","3","Names specific activities at the applicant's current level: same-grade details, agency or FFIEC coursework, work and community volunteer roles.","""I completed a same-grade detail to the Eastern Region in 2025 and have taken the FFIEC Advanced Fraud course and several agency leadership offerings. I serve as treasurer for my county's youth sports league.""","Self-Development","",""
"27","1","Refers to development in general terms without naming activities.","""I am committed to continuous learning and take advantage of development opportunities when they arise.""","Self-Development","",""
"28","0","Does not address self-development.","","Self-Development","",""
"29","5","Names a specific goal and places it on a stated timeframe. The path from the applicant's current position to the goal is described.","""Within three years I intend to move from Examiner to Supervisory Examiner in the Eastern Region, and within seven years into a division-level role in Examination and Insurance. The supervisory detail I completed last year was the first step.""","Career Goals and Timeline","",""
"30","3","Addresses career goals, but one of the two elements is missing or only partly given.","Specific but untimed: ""My goal is to move into a supervisory role in the examination program."" Timed but general: ""Over the next five years I want greater leadership responsibility at the agency.""","Career Goals and Timeline","",""
"31","1","States interest in advancement or development without naming a goal or a timeframe.","""I am looking to grow my career and take on new challenges at NCUA.""","Career Goals and Timeline","",""
"32","0","Does not address career goals.","","Career Goals and Timeline","",""
"33","5","Names a specific benefit and connects it to identified agency need, work, or a gap. Realistic in scale.","""The region lost three of its five commercial lending specialists to retirement in two years. The credit risk coursework would let me take complex commercial portfolios directly and train the examiners behind me, a gap my supervisor has raised in the last two workforce plans.""","Benefit to NCUA","",""
"34","3","Names a benefit to the agency, but it is incomplete. General rather than specific, not connected to identified agency work, or not realistic in scale.","""The program would strengthen my leadership skills, which would benefit my region and the agency as I take on more responsibility.""","Benefit to NCUA","",""
"35","1","Asserts the agency will benefit without saying how.","""NCUA will benefit from my participation in this program.""","Benefit to NCUA","",""
"36","0","Does not address benefit to the agency.","","Benefit to NCUA","",""
"37","5","Names specific skills the program provides and states where each would be applied in the applicant's work.","""The negotiation module applies to exit meetings where management disputes findings, which I currently escalate to my supervisor. The financial modeling coursework would let me evaluate interest rate risk models at the three largest credit unions in my district, which I currently refer to the specialist team.""","Skills Application","",""
"38","3","Addresses skills and where they would be applied, but one half is missing or only partly given.","Skills without application: ""The program's coursework in negotiation and financial analysis would strengthen skills I use in examinations."" Application without skills: ""What I gain from the program would go straight into the exit meetings and commercial portfolio reviews I handle in my district.""","Skills Application","",""
"39","1","Refers to skills or learning in general terms, with neither the skills nor the application named.","""I will apply what I learn in the program to my daily work.""","Skills Application","",""
"40","0","Does not address skills application.","","Skills Application","",""
"41","5","Grammar, spelling, and punctuation are consistently correct. The application is well organized, presents information clearly and logically throughout, and the writing holds the reader's interest.","","Application Quality","",""
"42","3","Occasional mistakes in grammar, spelling, or punctuation. The application is organized and presents ideas clearly and logically most of the time, with some flow to the writing.","","Application Quality","",""
"43","1","Frequent mistakes in grammar, spelling, and punctuation. The application is disorganized, many points lack specificity or are not developed logically, and the writing is difficult to follow.","","Application Quality","",""
"44","0","The submission cannot be evaluated as written prose. Fragments or bare lists where a narrative response was called for.","","Application Quality","",""
"45","5","Experience aligns to all five ECQs, each with an identifiable supporting experience.","A supported alignment reads like this, for each ECQ claimed. Building Coalitions: ""I negotiated a joint examination protocol with two state supervisory authorities, which is now standard practice in the region.""","Executive Core Qualification Alignment","",""
"46","3","Experience aligns to three or four of the five ECQs.","","Executive Core Qualification Alignment","",""
"47","1","Experience aligns to two or fewer, or the alignment claimed is not supported by the experience described.","An unsupported claim reads like this: ""My background demonstrates all five Executive Core Qualifications,"" with no experience tied to any of them.","Executive Core Qualification Alignment","",""
"48","0","Does not address the ECQs.","","Executive Core Qualification Alignment","",""
"49","5","Leadership reached across the agency: cross-region or cross-office initiatives, national programs, agency-level working groups.","""I co-led the agency-wide rollout of the revised examination report template, coordinating with all five regions and the Office of Examination and Insurance.""","Scope of Leadership Impact","",""
"50","3","Leadership reached across a division, region, or office beyond the applicant's immediate team.","""I led the Eastern Region's implementation of the revised report template across four field offices.""","Scope of Leadership Impact","",""
