"ID","CompetencyName","Description","State","CompetencyTypeID","_CommentFlags","_CommentCount"
"1","Interpersonal Skills","Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences.","Active","OPM","",""
"2","Accountability","Holds self and others accountable for measurable high-quality, timely, and cost-effective results. Determines objectives, sets priorities, and delegates work. Accepts responsibility for mistakes. Complies with established control systems and rules.","Active","OPM","",""
"3","Conflict Management","Manages and resolves conflicts, grievances, confrontations, or disagreements in a constructive manner to minimize negative personal impact.","Active","OPM","",""
"4","Continual Learning","Assesses and recognizes own strengths and weaknesses; pursues self-developmen","Active","OPM","",""
"5","Decisiveness","Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences; perceives the impact and implications of decisions.","Active","OPM","",""
"6","Flexibility","Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity.","Active","OPM","",""
"7","Managing Human Resources","Plans, distributes, coordinates, and monitors work assignments of others; evaluates work performance and provides feedback to others on their performance; ensures that staff are appropriately selected, utilized, and developed, and that they are treated in a fair and equitable manner.","Active","OPM","",""
"8","Influencing","Persuades others to accept recommendations, cooperate, or change their behavior; works with others towards an agreement; negotiates to find mutually acceptable solutions.","Active","OPM","",""
"9","Integrity / Honesty","Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy.","Active","OPM","",""
"10","Public Service Motivation","Shows a commitment to serve the public. Ensures that actions meet public needs; aligns organizational objectives and practices with public interests.","Active","OPM","",""
"11","Negotiating","Works with others towards an agreement that may involve exchanging specific resources or resolving differences.","Active","OPM","",""
"12","Oral Communication","Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.","Active","OPM","",""
"13","Problem Solving","Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations","Active","OPM","",""
"14","Resilience","Deals effectively with pressure; remains optimistic and persistent, even under adversity. Recovers quickly from setbacks.","Active","OPM","",""
"15","Strategic Thinking","Formulates objectives and priorities, and implements plans consistent with the long-term interests of the organization in a global environment. Capitalizes on opportunities and manages risks.","Active","OPM","",""
"16","Team Building","Inspires and fosters team commitment, spirit, pride, and trust. Facilitates cooperation and motivates team members to accomplish group goals.","Active","OPM","",""
"17","Written Communication","Writes in a clear, concise, organized, and convincing manner for the intended audience.","Active","OPM","",""
"18","Administration and Management","Assimilates information; applies agency policies and procedures; delegates authority and makes decisions; assesses and uses available resources to complete agency programs.","Active","Technical","",""
"19","Attention To Detail","Performs thorough and detailed work and is conscientious about attending to detail.","Active","Technical","",""
"20","Information Management","Identifies a need for and knows where or how to gather information; organizes and maintains information or information management systems.","Active","Technical","",""
"21","Mathematical Reasoning","Solves practical problems by choosing appropriately from a variety of mathematical, statistical, and financial techniques.","Active","Technical","",""
"22","Mathematics","Performs computations such as addition, subtraction, multiplication, and division correctly using whole numbers, fractions, decimals, and percentages.","Active","Technical","",""
